x0000,y0000
0,75576.92703,
1e-06,209859.0688,
2e-06,206292.485,
3e-06,206313.6015,
4e-06,206318.3306,
5e-06,206319.7148,
6e-06,206322.7478,
7e-06,206321.2828,
8e-06,206322.1404,
9e-06,206321.4882,
1e-05,206319.8726,
1.1e-05,206320.5367,
1.2e-05,206319.6594,
1.3e-05,206320.0045,
1.4e-05,206320.7483,
1.5e-05,206320.3803,
1.6e-05,206321.9267,
1.7e-05,206322.2782,
1.8e-05,206322.3199,
1.9e-05,206322.9707,
2e-05,206323.4193,
2.1e-05,206324.1715,
2.2e-05,206324.752,
2.3e-05,206324.7805,
2.4e-05,206325.432,
2.5e-05,206326.0143,
2.6e-05,206325.9388,
2.7e-05,206326.2554,
2.8e-05,206327.0616,
2.9e-05,206327.4626,
3e-05,206327.1149,
3.1e-05,206327.471,
3.2e-05,206327.6173,
3.3e-05,206327.8008,
3.4e-05,206327.9376,
3.5e-05,206328.3975,
3.6e-05,206328.0164,
3.7e-05,206328.303,
3.8e-05,206328.3573,
3.9e-05,206328.5235,
4e-05,206329.0455,
4.1e-05,206328.5328,
4.2e-05,206328.771,
4.3e-05,206328.699,
4.4e-05,206328.3724,
4.5e-05,206328.8119,
4.6e-05,206328.6016,
4.7e-05,206328.4104,
4.8e-05,206328.9037,
4.9e-05,206328.8819,
5e-05,206328.3497,
5.1e-05,206328.9207,
5.2e-05,206328.7962,
5.3e-05,206328.4159,
5.4e-05,206328.6286,
5.5e-05,206328.4882,
5.6e-05,206328.6016,
5.7e-05,206329.0755,
5.8e-05,206328.3694,
5.9e-05,206328.5291,
6e-05,206328.0275,
6.1e-05,206328.6471,
6.2e-05,206328.5061,
6.3e-05,206328.7167,
6.4e-05,206328.7544,
6.5e-05,206328.4768,
6.6e-05,206328.2386,
6.7e-05,206328.3037,
6.8e-05,206327.9624,
6.9e-05,206328.1505,
7e-05,206328.3515,
7.1e-05,206328.6706,
7.2e-05,206328.7149,
7.3e-05,206328.4885,
7.4e-05,206328.1333,
7.5e-05,206328.8481,
7.6e-05,206328.6008,
7.7e-05,206328.36,
7.8e-05,206328.6048,
7.9e-05,206328.398,
8e-05,206328.7985,
8.1e-05,206328.0524,
8.2e-05,206328.2866,
8.3e-05,206328.2752,
8.4e-05,206328.4442,
8.5e-05,206328.1037,
8.6e-05,206328.3692,
8.7e-05,206327.9861,
8.8e-05,206328.0444,
8.9e-05,206328.5756,
9e-05,206328.3429,
9.1e-05,206328.5977,
9.2e-05,206328.6648,
9.3e-05,206328.4892,
9.4e-05,206328.4616,
9.5e-05,206328.5006,
9.6e-05,206328.4776,
9.7e-05,206328.3621,
9.8e-05,206327.9227,
9.9e-05,206328.3755,
0.0001,197459.2622,
0.000101,206289.072,
0.000102,206325.1497,
0.000103,206328.1057,
0.000104,206326.6808,
0.000105,206325.9299,
0.000106,206325.7206,
0.000107,206325.1604,
0.000108,206325.4663,
0.000109,206325.2591,
0.00011,206325.3697,
0.000111,206325.4372,
0.000112,206325.7914,
0.000113,206325.993,
0.000114,206325.7011,
0.000115,206325.8784,
0.000116,206326.194,
0.000117,206326.2819,
0.000118,206326.2428,
0.000119,206325.9974,
0.00012,206326.1228,
0.000121,206326.0785,
0.000122,206325.8191,
0.000123,206326.0222,
0.000124,206325.7046,
0.000125,206325.5621,
0.000126,206325.7223,
0.000127,206326.1945,
0.000128,206326.0653,
0.000129,206326.2222,
0.00013,206326.0021,
0.000131,206326.1993,
0.000132,206326.2742,
0.000133,206326.3971,
0.000134,206326.5093,
0.000135,206326.3842,
0.000136,206326.4887,
0.000137,206326.8368,
0.000138,206326.7325,
0.000139,206326.5217,
0.00014,206326.6133,
0.000141,206326.7549,
0.000142,206327.3351,
0.000143,206327.1676,
0.000144,206327.3621,
