x0000,y0000
1.00E-08,-7
6.00E-08,-3.071428571
1.10E-07,-11.03571429
1.60E-07,-15.46428571
2.10E-07,-21.03571429
2.60E-07,-27.89285714
3.10E-07,-31.07142857
3.60E-07,-33.32142857
4.10E-07,-29.64285714
4.60E-07,-26.5
5.10E-07,-22.67857143
5.60E-07,-18.35714286
6.10E-07,-16.28571429
6.60E-07,-14.5
7.10E-07,-15.78571429
7.60E-07,-17.5
8.10E-07,-18.85714286
8.60E-07,-21.78571429
9.10E-07,-23.60714286
9.60E-07,-24.89285714
1.01E-06,-23.75
1.06E-06,-22.25
1.11E-06,-20.92857143
1.16E-06,-18.5
1.21E-06,-17.03571429
1.26E-06,-15.46428571
1.31E-06,-15.46428571
1.36E-06,-15.57142857
1.41E-06,-17.92857143
1.46E-06,-18.60714286
1.51E-06,-21.35714286
1.56E-06,-22.42857143
1.61E-06,-22.67857143
1.66E-06,-23.25
1.71E-06,-22.82142857
1.76E-06,-21.53571429
1.81E-06,-20.42857143
1.86E-06,-19.96428571
1.91E-06,-19.35714286
1.96E-06,-19.53571429
