x0000,y0000
0,10193,
1e-07,4186,
2e-07,186,
3e-07,127,
4e-07,127,
5e-07,115,
6e-07,119,
7e-07,111,
8e-07,124,
9e-07,112,
1e-06,104,
1.1e-06,3646,
1.2e-06,10402,
1.3e-06,10959,
1.4e-06,10816,
1.5e-06,10816,
1.6e-06,10703,
1.7e-06,10361,
1.8e-06,10311,
1.9e-06,10593,
2e-06,10453,
2.1e-06,10317,
2.2e-06,10417,
2.3e-06,10498,
2.4e-06,10322,
2.5e-06,10351,
2.6e-06,10355,
2.7e-06,10333,
2.8e-06,10418,
2.9e-06,10258,
3e-06,10452,
3.1e-06,10330,
3.2e-06,10544,
3.3e-06,10418,
3.4e-06,10267,
3.5e-06,10461,
3.6e-06,10345,
3.7e-06,10164,
3.8e-06,10337,
3.9e-06,10434,
4e-06,10059,
4.1e-06,10318,
4.2e-06,10252,
4.3e-06,10360,
4.4e-06,10375,
4.5e-06,10455,
4.6e-06,10289,
4.7e-06,10286,
4.8e-06,10262,
4.9e-06,10394,
5e-06,10412,
5.1e-06,10274,
5.2e-06,10321,
5.3e-06,10187,
5.4e-06,10293,
5.5e-06,10346,
5.6e-06,10291,
5.7e-06,10208,
5.8e-06,10300,
5.9e-06,10392,
6e-06,10096,
6.1e-06,10165,
6.2e-06,10256,
6.3e-06,10439,
6.4e-06,10269,
6.5e-06,10260,
6.6e-06,10247,
6.7e-06,10279,
6.8e-06,10301,
6.9e-06,10235,
7e-06,10187,
7.1e-06,10329,
7.2e-06,10217,
7.3e-06,10203,
7.4e-06,10190,
7.5e-06,10215,
7.6e-06,10437,
7.7e-06,10240,
7.8e-06,10501,
7.9e-06,10194,
8e-06,10249,
8.1e-06,10151,
8.2e-06,10366,
8.3e-06,10324,
8.4e-06,10433,
8.5e-06,10124,
8.6e-06,10192,
8.7e-06,10161,
8.8e-06,10094,
8.9e-06,10284,
9e-06,10332,
9.1e-06,10243,
9.2e-06,10041,
9.3e-06,10337,
9.4e-06,10208,
9.5e-06,10117,
9.6e-06,10429,
9.7e-06,10112,
9.8e-06,10182,
9.9e-06,10223,
1e-05,10244,
1.01e-05,10180,
1.02e-05,10229,
1.03e-05,10170,
1.04e-05,10314,
1.05e-05,10345,
1.06e-05,10128,
1.07e-05,10452,
1.08e-05,10175,
1.09e-05,10287,
1.1e-05,10366,
1.11e-05,10171,
1.12e-05,10157,
1.13e-05,10329,
1.14e-05,10064,
1.15e-05,10408,
1.16e-05,10184,
1.17e-05,10198,
1.18e-05,10270,
1.19e-05,10295,
1.2e-05,10177,
1.21e-05,10141,
1.22e-05,10345,
1.23e-05,10250,
1.24e-05,10243,
1.25e-05,10210,
1.26e-05,10211,
1.27e-05,10228,
1.28e-05,10209,
1.29e-05,10310,
1.3e-05,10204,
1.31e-05,10184,
1.32e-05,10315,
