x0000,y0000
0,16725,
1e-09,16505,
2e-09,16421,
3e-09,16627,
4e-09,16448,
5e-09,16530,
6e-09,16505,
7e-09,16179,
8e-09,16278,
9e-09,16620,
1e-08,16437,
1.1e-08,16583,
1.2e-08,16683,
1.3e-08,16513,
1.4e-08,16248,
1.5e-08,16805,
1.6e-08,16464,
1.7e-08,16314,
1.8e-08,16408,
1.9e-08,16457,
2e-08,16491,
2.1e-08,16404,
2.2e-08,16398,
2.3e-08,16560,
2.4e-08,16761,
2.5e-08,16421,
2.6e-08,16195,
2.7e-08,16460,
2.8e-08,16334,
2.9e-08,16775,
3e-08,16440,
3.1e-08,16503,
3.2e-08,16347,
3.3e-08,16404,
3.4e-08,16555,
3.5e-08,16601,
3.6e-08,16393,
3.7e-08,16600,
3.8e-08,16438,
3.9e-08,16531,
4e-08,16407,
4.1e-08,16591,
4.2e-08,16534,
4.3e-08,16451,
4.4e-08,15913,
4.5e-08,15449,
4.6e-08,15017,
4.7e-08,14166,
4.8e-08,13440,
4.9e-08,12657,
5e-08,12090,
5.1e-08,11548,
5.2e-08,10875,
5.3e-08,10205,
5.4e-08,9933,
5.5e-08,9550,
5.6e-08,9128,
5.7e-08,8636,
5.8e-08,8247,
5.9e-08,7912,
6e-08,7746,
6.1e-08,7235,
6.2e-08,7214,
6.3e-08,7017,
6.4e-08,6650,
6.5e-08,6378,
6.6e-08,6350,
6.7e-08,6342,
6.8e-08,5973,
6.9e-08,5822,
7e-08,5634,
7.1e-08,5530,
7.2e-08,5349,
7.3e-08,5401,
7.4e-08,5279,
7.5e-08,5206,
7.6e-08,4931,
7.7e-08,4812,
7.8e-08,4818,
7.9e-08,4354,
8e-08,4152,
8.1e-08,3830,
8.2e-08,3666,
8.3e-08,3235,
8.4e-08,3193,
8.5e-08,2938,
8.6e-08,2742,
8.7e-08,2652,
8.8e-08,2473,
8.9e-08,2314,
9e-08,2241,
9.1e-08,2032,
9.2e-08,1832,
9.3e-08,1746,
9.4e-08,1744,
9.5e-08,1590,
9.6e-08,1539,
9.7e-08,1374,
9.8e-08,1352,
9.9e-08,1283,
1e-07,1205,
1.01e-07,1113,
1.02e-07,1054,
1.03e-07,986,
1.04e-07,975,
1.05e-07,896,
1.06e-07,886,
1.07e-07,784,
1.08e-07,758,
1.09e-07,686,
1.1e-07,660,
1.11e-07,622,
1.12e-07,617,
1.13e-07,570,
1.14e-07,540,
1.15e-07,509,
1.16e-07,521,
1.17e-07,529,
1.18e-07,449,
1.19e-07,433,
1.2e-07,410,
1.21e-07,379,
1.22e-07,372,
1.23e-07,366,
1.24e-07,395,
1.25e-07,328,
1.26e-07,307,
1.27e-07,280,
1.28e-07,266,
1.29e-07,280,
1.3e-07,282,
1.31e-07,264,
1.32e-07,247,
1.33e-07,215,
1.34e-07,227,
1.35e-07,200,
1.36e-07,215,
1.37e-07,197,
1.38e-07,184,
1.39e-07,181,
1.4e-07,167,
1.41e-07,187,
1.42e-07,173,
1.43e-07,152,
1.44e-07,176,
1.45e-07,142,
1.46e-07,181,
1.47e-07,145,
1.48e-07,129,
1.49e-07,131,
1.5e-07,142,
1.51e-07,112,
1.52e-07,125,
1.53e-07,95,
1.54e-07,111,
1.55e-07,96,
1.56e-07,108,
1.57e-07,88,
1.58e-07,106,
1.59e-07,133,
1.6e-07,97,
1.61e-07,101,
1.62e-07,92,
1.63e-07,80,
1.64e-07,101,
1.65e-07,109,
1.66e-07,77,
1.67e-07,91,
1.68e-07,73,
1.69e-07,82,
1.7e-07,90,
1.71e-07,82,
1.72e-07,76,
1.73e-07,96,
1.74e-07,75,
1.75e-07,75,
1.76e-07,100,
1.77e-07,90,
1.78e-07,92,
1.79e-07,84,
1.8e-07,75,
1.81e-07,70,
1.82e-07,72,
1.83e-07,84,
1.84e-07,84,
1.85e-07,85,
