x0000,y0000
0,16647,
1e-09,16695,
2e-09,16820,
3e-09,16602,
4e-09,16860,
5e-09,16777,
6e-09,16912,
7e-09,16665,
8e-09,16823,
9e-09,16804,
1e-08,16740,
1.1e-08,16713,
1.2e-08,17017,
1.3e-08,16696,
1.4e-08,16744,
1.5e-08,16649,
1.6e-08,16970,
1.7e-08,16726,
1.8e-08,16670,
1.9e-08,16863,
2e-08,16628,
2.1e-08,16964,
2.2e-08,16447,
2.3e-08,16636,
2.4e-08,16786,
2.5e-08,16677,
2.6e-08,16720,
2.7e-08,16597,
2.8e-08,16507,
2.9e-08,16777,
3e-08,16816,
3.1e-08,16672,
3.2e-08,16730,
3.3e-08,16785,
3.4e-08,16632,
3.5e-08,16801,
3.6e-08,16834,
3.7e-08,16536,
3.8e-08,16666,
3.9e-08,16694,
4e-08,16553,
4.1e-08,16729,
4.2e-08,16620,
4.3e-08,16630,
4.4e-08,16279,
4.5e-08,16100,
4.6e-08,15278,
4.7e-08,14443,
4.8e-08,13664,
4.9e-08,12837,
5e-08,12176,
5.1e-08,11709,
5.2e-08,10995,
5.3e-08,10528,
5.4e-08,10087,
5.5e-08,9548,
5.6e-08,9067,
5.7e-08,8845,
5.8e-08,8461,
5.9e-08,8190,
6e-08,8023,
6.1e-08,7542,
6.2e-08,7356,
6.3e-08,7273,
6.4e-08,6800,
6.5e-08,6570,
6.6e-08,6564,
6.7e-08,6355,
6.8e-08,6161,
6.9e-08,5934,
7e-08,5854,
7.1e-08,5776,
7.2e-08,5560,
7.3e-08,5377,
7.4e-08,5367,
7.5e-08,5224,
7.6e-08,5076,
7.7e-08,4959,
7.8e-08,4772,
7.9e-08,4582,
8e-08,4263,
8.1e-08,3918,
8.2e-08,3676,
8.3e-08,3337,
8.4e-08,3185,
8.5e-08,2965,
8.6e-08,2817,
8.7e-08,2555,
8.8e-08,2453,
8.9e-08,2273,
9e-08,2180,
9.1e-08,2034,
9.2e-08,1892,
9.3e-08,1835,
9.4e-08,1739,
9.5e-08,1607,
9.6e-08,1530,
9.7e-08,1403,
9.8e-08,1407,
9.9e-08,1283,
1e-07,1204,
1.01e-07,1115,
1.02e-07,1096,
1.03e-07,1074,
1.04e-07,914,
1.05e-07,960,
1.06e-07,810,
1.07e-07,865,
1.08e-07,748,
1.09e-07,719,
1.1e-07,670,
1.11e-07,662,
1.12e-07,575,
1.13e-07,611,
1.14e-07,559,
1.15e-07,502,
1.16e-07,515,
1.17e-07,464,
1.18e-07,486,
1.19e-07,389,
1.2e-07,417,
1.21e-07,375,
1.22e-07,343,
1.23e-07,356,
1.24e-07,320,
1.25e-07,328,
1.26e-07,342,
1.27e-07,289,
1.28e-07,285,
1.29e-07,303,
1.3e-07,271,
1.31e-07,258,
1.32e-07,218,
1.33e-07,241,
1.34e-07,223,
1.35e-07,211,
1.36e-07,233,
1.37e-07,197,
1.38e-07,190,
1.39e-07,225,
1.4e-07,213,
1.41e-07,171,
1.42e-07,172,
1.43e-07,181,
1.44e-07,162,
1.45e-07,150,
1.46e-07,159,
1.47e-07,127,
1.48e-07,132,
1.49e-07,137,
1.5e-07,110,
1.51e-07,129,
1.52e-07,118,
1.53e-07,108,
1.54e-07,117,
1.55e-07,122,
1.56e-07,111,
1.57e-07,90,
1.58e-07,99,
1.59e-07,103,
1.6e-07,120,
1.61e-07,112,
1.62e-07,101,
1.63e-07,92,
1.64e-07,79,
1.65e-07,95,
1.66e-07,80,
1.67e-07,105,
1.68e-07,85,
1.69e-07,108,
1.7e-07,89,
1.71e-07,102,
1.72e-07,110,
1.73e-07,90,
1.74e-07,77,
1.75e-07,93,
1.76e-07,84,
1.77e-07,79,
1.78e-07,78,
1.79e-07,66,
1.8e-07,95,
1.81e-07,84,
1.82e-07,84,
1.83e-07,76,
1.84e-07,74,
1.85e-07,68,
1.86e-07,79,
1.87e-07,68,
1.88e-07,91,
1.89e-07,70,
1.9e-07,63,
1.91e-07,73,
1.92e-07,67,
1.93e-07,63,
1.94e-07,81,
1.95e-07,80,
1.96e-07,69,
1.97e-07,61,
1.98e-07,68,
1.99e-07,55,
2e-07,61,
2.01e-07,74,
2.02e-07,57,
2.03e-07,64,
2.04e-07,77,
2.05e-07,73,
2.06e-07,79,
2.07e-07,61,
2.08e-07,78,
2.09e-07,58,
2.1e-07,77,
2.11e-07,71,
2.12e-07,73,
2.13e-07,71,
2.14e-07,64,
2.15e-07,60,
2.16e-07,62,
2.17e-07,77,
2.18e-07,73,
2.19e-07,60,
2.2e-07,60,
2.21e-07,68,
2.22e-07,61,
2.23e-07,67,
2.24e-07,52,
2.25e-07,67,
2.26e-07,68,
2.27e-07,66,
2.28e-07,55,
2.29e-07,59,
2.3e-07,69,
2.31e-07,51,
2.32e-07,64,
2.33e-07,70,
2.34e-07,70,
2.35e-07,65,
2.36e-07,54,
2.37e-07,54,
2.38e-07,53,
2.39e-07,58,
2.4e-07,57,
2.41e-07,62,
2.42e-07,64,
2.43e-07,54,
2.44e-07,56,
2.45e-07,62,
2.46e-07,46,
2.47e-07,54,
2.48e-07,48,
2.49e-07,49,
2.5e-07,64,
2.51e-07,47,
2.52e-07,64,
2.53e-07,67,
2.54e-07,59,
2.55e-07,53,
2.56e-07,49,
2.57e-07,71,
2.58e-07,58,
2.59e-07,62,
2.6e-07,52,
2.61e-07,46,
2.62e-07,68,
2.63e-07,65,
2.64e-07,65,
2.65e-07,60,
2.66e-07,46,
2.67e-07,53,
2.68e-07,60,
2.69e-07,55,
2.7e-07,41,
2.71e-07,63,
2.72e-07,66,
2.73e-07,51,
2.74e-07,67,
2.75e-07,45,
2.76e-07,54,
