x0000,y0000
0,17059,
5e-08,4271,
1e-07,406,
1.5e-07,138,
2e-07,180,
2.5e-07,196,
3e-07,4115,
3.5e-07,14913,
4e-07,17775,
4.5e-07,17705,
5e-07,17479,
5.5e-07,17392,
6e-07,17358,
6.5e-07,17401,
7e-07,17140,
7.5e-07,17139,
8e-07,17234,
8.5e-07,17324,
9e-07,16933,
9.5e-07,17158,
1e-06,17150,
1.05e-06,16971,
1.1e-06,17038,
1.15e-06,16744,
1.2e-06,16883,
1.25e-06,16839,
1.3e-06,17167,
1.35e-06,16794,
1.4e-06,17258,
1.45e-06,16908,
1.5e-06,17150,
1.55e-06,16870,
1.6e-06,17058,
1.65e-06,17131,
1.7e-06,17188,
1.75e-06,17114,
1.8e-06,17313,
1.85e-06,17136,
1.9e-06,17088,
1.95e-06,17141,
2e-06,17268,
2.05e-06,17189,
2.1e-06,17114,
2.15e-06,17383,
2.2e-06,17263,
2.25e-06,17267,
2.3e-06,17305,
2.35e-06,17256,
2.4e-06,17313,
2.45e-06,17214,
2.5e-06,17246,
2.55e-06,17627,
2.6e-06,17103,
2.65e-06,17381,
2.7e-06,17333,
2.75e-06,17254,
2.8e-06,17331,
2.85e-06,17545,
2.9e-06,17097,
2.95e-06,17083,
3e-06,17498,
3.05e-06,17153,
3.1e-06,17398,
3.15e-06,17131,
3.2e-06,17277,
3.25e-06,17496,
3.3e-06,17340,
3.35e-06,17141,
3.4e-06,17433,
3.45e-06,17224,
3.5e-06,17354,
3.55e-06,17507,
3.6e-06,17380,
3.65e-06,17498,
3.7e-06,17209,
3.75e-06,17489,
3.8e-06,17523,
3.85e-06,17403,
3.9e-06,17374,
3.95e-06,17373,
4e-06,17571,
4.05e-06,17466,
4.1e-06,17263,
4.15e-06,17465,
4.2e-06,17440,
4.25e-06,17408,
4.3e-06,17495,
4.35e-06,17293,
4.4e-06,17269,
4.45e-06,17497,
4.5e-06,17436,
4.55e-06,17609,
4.6e-06,17261,
4.65e-06,17403,
4.7e-06,17267,
4.75e-06,17439,
4.8e-06,17555,
4.85e-06,17359,
4.9e-06,17277,
4.95e-06,17592,
5e-06,17523,
5.05e-06,17364,
5.1e-06,17677,
5.15e-06,17286,
5.2e-06,17336,
5.25e-06,17359,
5.3e-06,12386,
5.35e-06,2097,
5.4e-06,300,
5.45e-06,210,
5.5e-06,183,
5.55e-06,8946,
5.6e-06,16674,
5.65e-06,17756,
5.7e-06,17193,
5.75e-06,17366,
5.8e-06,17201,
5.85e-06,17231,
5.9e-06,17275,
5.95e-06,17169,
6e-06,16990,
6.05e-06,16992,
6.1e-06,16828,
6.15e-06,16770,
6.2e-06,16931,
6.25e-06,16855,
6.3e-06,16929,
6.35e-06,16768,
6.4e-06,16798,
6.45e-06,16961,
6.5e-06,16903,
6.55e-06,16962,
6.6e-06,16886,
6.65e-06,16962,
6.7e-06,17281,
6.75e-06,17033,
6.8e-06,17069,
6.85e-06,17218,
6.9e-06,17266,
6.95e-06,17159,
7e-06,17090,
7.05e-06,17147,
7.1e-06,17157,
7.15e-06,17038,
7.2e-06,17067,
7.25e-06,17127,
7.3e-06,17214,
7.35e-06,17205,
7.4e-06,16945,
7.45e-06,17424,
7.5e-06,17310,
7.55e-06,17310,
7.6e-06,17078,
7.65e-06,17272,
7.7e-06,17583,
7.75e-06,17289,
7.8e-06,17123,
7.85e-06,17125,
7.9e-06,17272,
7.95e-06,17266,
8e-06,17295,
8.05e-06,17218,
8.1e-06,16974,
8.15e-06,17478,
8.2e-06,17408,
8.25e-06,17321,
8.3e-06,17177,
8.35e-06,17206,
8.4e-06,17510,
8.45e-06,17260,
8.5e-06,17234,
8.55e-06,17649,
8.6e-06,17448,
8.65e-06,17265,
8.7e-06,17257,
8.75e-06,17553,
8.8e-06,17338,
8.85e-06,17398,
8.9e-06,17276,
8.95e-06,17500,
9e-06,17243,
9.05e-06,17277,
9.1e-06,17318,
9.15e-06,17190,
9.2e-06,17341,
9.25e-06,17323,
9.3e-06,17351,
9.35e-06,17463,
9.4e-06,17266,
9.45e-06,17398,
9.5e-06,17137,
9.55e-06,17280,
9.6e-06,17181,
9.65e-06,17485,
9.7e-06,17263,
9.75e-06,17440,
9.8e-06,17452,
9.85e-06,17161,
9.9e-06,17466,
9.95e-06,17417,
1e-05,17629,
1.005e-05,17399,
1.01e-05,17255,
1.015e-05,17295,
1.02e-05,17411,
1.025e-05,17555,
1.03e-05,17534,
1.035e-05,17342,
1.04e-05,17308,
1.045e-05,17434,
1.05e-05,17342,
1.055e-05,7094,
1.06e-05,616,
1.065e-05,194,
1.07e-05,217,
1.075e-05,608,
1.08e-05,11041,
1.085e-05,17526,
1.09e-05,17679,
1.095e-05,17247,
1.1e-05,17159,
1.105e-05,17205,
1.11e-05,17049,
1.115e-05,17362,
1.12e-05,16827,
1.125e-05,16941,
1.13e-05,16789,
1.135e-05,16835,
1.14e-05,16799,
1.145e-05,16749,
1.15e-05,16911,
1.155e-05,16789,
1.16e-05,17034,
1.165e-05,17138,
1.17e-05,17066,
1.175e-05,16838,
1.18e-05,16892,
1.185e-05,17134,
1.19e-05,16991,
1.195e-05,17012,
1.2e-05,17165,
1.205e-05,17038,
1.21e-05,16992,
1.215e-05,17096,
1.22e-05,17109,
1.225e-05,17141,
1.23e-05,17077,
1.235e-05,17015,
1.24e-05,17270,
1.245e-05,17393,
1.25e-05,17173,
1.255e-05,17181,
1.26e-05,17216,
1.265e-05,17070,
1.27e-05,17429,
1.275e-05,17238,
1.28e-05,17376,
1.285e-05,17199,
1.29e-05,16992,
1.295e-05,17377,
1.3e-05,17439,
1.305e-05,17194,
1.31e-05,17209,
1.315e-05,17286,
1.32e-05,17185,
1.325e-05,17343,
1.33e-05,17261,
1.335e-05,17282,
1.34e-05,17460,
1.345e-05,17238,
1.35e-05,17223,
1.355e-05,17085,
1.36e-05,17202,
1.365e-05,17229,
1.37e-05,17299,
1.375e-05,17019,
1.38e-05,17380,
1.385e-05,17335,
1.39e-05,17360,
1.395e-05,17145,
1.4e-05,17355,
1.405e-05,17322,
1.41e-05,17219,
1.415e-05,17441,
1.42e-05,17349,
1.425e-05,17363,
1.43e-05,17229,
1.435e-05,17328,
1.44e-05,17437,
1.445e-05,17420,
1.45e-05,17320,
1.455e-05,17379,
1.46e-05,17207,
1.465e-05,17353,
1.47e-05,17364,
1.475e-05,17212,
1.48e-05,17485,
1.485e-05,17311,
1.49e-05,17450,
1.495e-05,17446,
1.5e-05,17338,
1.505e-05,17216,
1.51e-05,17535,
1.515e-05,17341,
1.52e-05,17207,
1.525e-05,17204,
1.53e-05,17663,
1.535e-05,17182,
1.54e-05,17443,
1.545e-05,17506,
1.55e-05,17548,
1.555e-05,17460,
1.56e-05,17208,
1.565e-05,17500,
1.57e-05,17570,
1.575e-05,16579,
1.58e-05,4532,
1.585e-05,444,
1.59e-05,205,
1.595e-05,188,
1.6e-05,637,
1.605e-05,11061,
1.61e-05,17541,
1.615e-05,17548,
1.62e-05,17091,
1.625e-05,17146,
1.63e-05,17266,
1.635e-05,16864,
1.64e-05,16832,
1.645e-05,16957,
1.65e-05,16703,
1.655e-05,17033,
1.66e-05,16973,
1.665e-05,16659,
1.67e-05,16859,
1.675e-05,16871,
1.68e-05,16759,
1.685e-05,16883,
1.69e-05,16658,
1.695e-05,16735,
1.7e-05,16944,
1.705e-05,16789,
1.71e-05,16781,
1.715e-05,16939,
1.72e-05,17002,
1.725e-05,17053,
1.73e-05,17394,
1.735e-05,16928,
1.74e-05,17180,
1.745e-05,17152,
1.75e-05,17173,
1.755e-05,17090,
1.76e-05,17070,
1.765e-05,17016,
1.77e-05,17298,
1.775e-05,17197,
1.78e-05,16872,
1.785e-05,17144,
1.79e-05,17160,
1.795e-05,17027,
1.8e-05,17123,
1.805e-05,17242,
1.81e-05,16995,
1.815e-05,17323,
1.82e-05,17120,
1.825e-05,17122,
1.83e-05,17308,
1.835e-05,17036,
1.84e-05,16989,
1.845e-05,17052,
1.85e-05,17022,
1.855e-05,17324,
1.86e-05,17225,
1.865e-05,17037,
1.87e-05,17108,
1.875e-05,17548,
1.88e-05,17297,
1.885e-05,17387,
1.89e-05,17125,
1.895e-05,17321,
1.9e-05,17357,
1.905e-05,17211,
1.91e-05,17341,
1.915e-05,17441,
1.92e-05,17243,
1.925e-05,17267,
1.93e-05,17369,
1.935e-05,17414,
1.94e-05,17392,
1.945e-05,17315,
1.95e-05,17315,
1.955e-05,17226,
1.96e-05,17330,
1.965e-05,17344,
1.97e-05,17348,
1.975e-05,17304,
1.98e-05,17459,
1.985e-05,17321,
1.99e-05,17406,
1.995e-05,17419,
2e-05,17427,
2.005e-05,17555,
2.01e-05,17521,
2.015e-05,17281,
2.02e-05,17368,
2.025e-05,17579,
2.03e-05,17273,
2.035e-05,17244,
2.04e-05,17278,
2.045e-05,17202,
2.05e-05,17331,
2.055e-05,17486,
2.06e-05,17352,
2.065e-05,17342,
2.07e-05,17397,
2.075e-05,17349,
2.08e-05,17507,
2.085e-05,17354,
2.09e-05,17265,
2.095e-05,17273,
2.1e-05,16599,
2.105e-05,4670,
2.11e-05,440,
2.115e-05,225,
2.12e-05,180,
2.125e-05,193,
2.13e-05,8670,
2.135e-05,16642,
2.14e-05,17542,
2.145e-05,17233,
2.15e-05,17216,
2.155e-05,17103,
2.16e-05,16999,
2.165e-05,17236,
2.17e-05,16996,
2.175e-05,16953,
2.18e-05,16745,
2.185e-05,16915,
2.19e-05,17147,
2.195e-05,16995,
2.2e-05,16757,
2.205e-05,17135,
2.21e-05,16952,
2.215e-05,16986,
2.22e-05,16924,
2.225e-05,16754,
2.23e-05,16882,
2.235e-05,16810,
2.24e-05,17161,
2.245e-05,16966,
2.25e-05,17043,
2.255e-05,17144,
2.26e-05,16963,
2.265e-05,17306,
2.27e-05,17056,
2.275e-05,17047,
2.28e-05,17193,
2.285e-05,16942,
2.29e-05,17164,
2.295e-05,17091,
2.3e-05,17246,
2.305e-05,16945,
2.31e-05,17316,
2.315e-05,17103,
2.32e-05,17156,
2.325e-05,17444,
2.33e-05,17348,
2.335e-05,17175,
2.34e-05,17356,
2.345e-05,17119,
2.35e-05,17167,
2.355e-05,17258,
2.36e-05,17229,
2.365e-05,17256,
2.37e-05,17039,
2.375e-05,17313,
2.38e-05,17369,
2.385e-05,17379,
2.39e-05,17030,
2.395e-05,17342,
2.4e-05,17132,
2.405e-05,17276,
2.41e-05,17294,
2.415e-05,17586,
2.42e-05,17298,
2.425e-05,17276,
2.43e-05,17237,
2.435e-05,17371,
2.44e-05,17451,
2.445e-05,17374,
2.45e-05,17361,
2.455e-05,17328,
2.46e-05,17377,
2.465e-05,17286,
2.47e-05,17318,
2.475e-05,17215,
2.48e-05,17450,
2.485e-05,17144,
2.49e-05,17352,
2.495e-05,17511,
2.5e-05,17293,
2.505e-05,17424,
2.51e-05,17489,
2.515e-05,17457,
2.52e-05,17471,
2.525e-05,17238,
2.53e-05,17663,
2.535e-05,17127,
2.54e-05,17253,
2.545e-05,17361,
2.55e-05,17436,
2.555e-05,17316,
2.56e-05,17414,
2.565e-05,17410,
2.57e-05,17492,
2.575e-05,17409,
2.58e-05,17441,
2.585e-05,17536,
2.59e-05,17140,
2.595e-05,17327,
2.6e-05,17322,
2.605e-05,17286,
2.61e-05,17262,
2.615e-05,17413,
2.62e-05,17667,
2.625e-05,17368,
2.63e-05,6984,
2.635e-05,630,
2.64e-05,228,
2.645e-05,204,
2.65e-05,184,
2.655e-05,3960,
2.66e-05,14529,
2.665e-05,17717,
2.67e-05,17486,
2.675e-05,17305,
2.68e-05,17337,
2.685e-05,17142,
2.69e-05,17058,
2.695e-05,17264,
2.7e-05,17115,
2.705e-05,16869,
2.71e-05,16856,
2.715e-05,17145,
2.72e-05,16980,
2.725e-05,16882,
2.73e-05,16784,
2.735e-05,16914,
2.74e-05,17080,
2.745e-05,17050,
2.75e-05,16980,
2.755e-05,17118,
2.76e-05,17022,
2.765e-05,16939,
2.77e-05,17073,
2.775e-05,17047,
2.78e-05,16932,
2.785e-05,17160,
2.79e-05,17301,
2.795e-05,17184,
2.8e-05,16952,
2.805e-05,17418,
2.81e-05,17048,
2.815e-05,17274,
2.82e-05,17299,
2.825e-05,17124,
2.83e-05,17264,
2.835e-05,17025,
2.84e-05,17354,
2.845e-05,17295,
2.85e-05,17259,
2.855e-05,17126,
2.86e-05,17065,
2.865e-05,17183,
2.87e-05,17217,
2.875e-05,17276,
2.88e-05,17118,
2.885e-05,17448,
2.89e-05,17195,
2.895e-05,17251,
2.9e-05,17280,
2.905e-05,16960,
2.91e-05,17231,
2.915e-05,17225,
2.92e-05,17381,
2.925e-05,17151,
2.93e-05,17196,
2.935e-05,17194,
2.94e-05,17091,
2.945e-05,17463,
2.95e-05,17307,
2.955e-05,17389,
2.96e-05,17291,
2.965e-05,17234,
2.97e-05,17505,
2.975e-05,17188,
2.98e-05,17155,
2.985e-05,17518,
2.99e-05,17203,
2.995e-05,17409,
3e-05,17192,
3.005e-05,17570,
3.01e-05,17320,
3.015e-05,17376,
3.02e-05,17427,
3.025e-05,17316,
3.03e-05,17639,
3.035e-05,17131,
3.04e-05,17387,
3.045e-05,17339,
3.05e-05,17483,
3.055e-05,17415,
3.06e-05,17445,
3.065e-05,17322,
3.07e-05,17230,
3.075e-05,17144,
3.08e-05,17430,
3.085e-05,17609,
3.09e-05,17286,
3.095e-05,17369,
3.1e-05,17543,
3.105e-05,17418,
3.11e-05,17513,
3.115e-05,17234,
3.12e-05,17560,
3.125e-05,17408,
3.13e-05,17497,
3.135e-05,17422,
3.14e-05,17412,
3.145e-05,17293,
3.15e-05,17386,
3.155e-05,12437,
3.16e-05,2066,
3.165e-05,272,
3.17e-05,179,
3.175e-05,193,
3.18e-05,213,
3.185e-05,8906,
3.19e-05,16739,
3.195e-05,17870,
3.2e-05,17428,
3.205e-05,17427,
3.21e-05,17448,
3.215e-05,17386,
3.22e-05,16971,
3.225e-05,17243,
3.23e-05,17162,
3.235e-05,17095,
3.24e-05,17147,
3.245e-05,16871,
