x0000,y0000
0,95908,
5e-08,28426,
1e-07,2433,
1.5e-07,516,
2e-07,364,
2.5e-07,352,
3e-07,20395,
3.5e-07,79722,
4e-07,98266,
4.5e-07,97230,
5e-07,95659,
5.5e-07,95900,
6e-07,95872,
6.5e-07,95057,
7e-07,94787,
7.5e-07,95127,
8e-07,94495,
8.5e-07,93976,
9e-07,93503,
9.5e-07,93512,
1e-06,94368,
1.05e-06,93152,
1.1e-06,93514,
1.15e-06,93286,
1.2e-06,93992,
1.25e-06,94026,
1.3e-06,93629,
1.35e-06,94421,
1.4e-06,93737,
1.45e-06,94731,
1.5e-06,94202,
1.55e-06,94623,
1.6e-06,95078,
1.65e-06,94636,
1.7e-06,94648,
1.75e-06,95025,
1.8e-06,95342,
1.85e-06,95403,
1.9e-06,95782,
1.95e-06,95504,
2e-06,95632,
2.05e-06,95508,
2.1e-06,95818,
2.15e-06,95670,
2.2e-06,95629,
2.25e-06,95460,
2.3e-06,95780,
2.35e-06,95997,
2.4e-06,96022,
2.45e-06,95716,
2.5e-06,95357,
2.55e-06,96215,
2.6e-06,95743,
2.65e-06,95861,
2.7e-06,95761,
2.75e-06,96094,
2.8e-06,95871,
2.85e-06,96273,
2.9e-06,95893,
2.95e-06,95702,
3e-06,95973,
3.05e-06,96284,
3.1e-06,95996,
3.15e-06,95759,
3.2e-06,96152,
3.25e-06,96084,
3.3e-06,96648,
3.35e-06,95981,
3.4e-06,96186,
3.45e-06,96947,
3.5e-06,96677,
3.55e-06,96514,
3.6e-06,96098,
3.65e-06,96237,
3.7e-06,96158,
3.75e-06,96529,
3.8e-06,96149,
3.85e-06,96244,
3.9e-06,96324,
3.95e-06,96393,
4e-06,96683,
4.05e-06,96469,
4.1e-06,96672,
4.15e-06,96231,
4.2e-06,96721,
4.25e-06,97036,
4.3e-06,97017,
4.35e-06,96296,
4.4e-06,96553,
4.45e-06,96509,
4.5e-06,97149,
4.55e-06,96347,
4.6e-06,96799,
4.65e-06,96486,
4.7e-06,96136,
4.75e-06,96315,
4.8e-06,96485,
4.85e-06,96971,
4.9e-06,96386,
4.95e-06,96449,
5e-06,96931,
5.05e-06,97204,
5.1e-06,96642,
5.15e-06,96584,
5.2e-06,96695,
5.25e-06,96785,
5.3e-06,70955,
5.35e-06,12982,
5.4e-06,1004,
5.45e-06,425,
5.5e-06,350,
5.55e-06,45967,
5.6e-06,91468,
5.65e-06,97345,
5.7e-06,95059,
5.75e-06,95798,
5.8e-06,94267,
5.85e-06,93942,
5.9e-06,94399,
5.95e-06,93301,
6e-06,93551,
6.05e-06,93477,
6.1e-06,93047,
6.15e-06,93550,
6.2e-06,92227,
6.25e-06,93086,
6.3e-06,92923,
6.35e-06,92482,
6.4e-06,93066,
6.45e-06,93351,
6.5e-06,93660,
6.55e-06,93605,
6.6e-06,93884,
6.65e-06,93848,
6.7e-06,94025,
6.75e-06,94409,
6.8e-06,94446,
6.85e-06,94651,
6.9e-06,94766,
6.95e-06,94507,
7e-06,94991,
7.05e-06,94905,
7.1e-06,95248,
7.15e-06,95095,
7.2e-06,94584,
7.25e-06,95225,
7.3e-06,95533,
7.35e-06,95470,
7.4e-06,95539,
7.45e-06,95743,
7.5e-06,94966,
7.55e-06,95378,
7.6e-06,94924,
7.65e-06,95870,
7.7e-06,95713,
7.75e-06,95370,
7.8e-06,96098,
7.85e-06,95793,
7.9e-06,95980,
7.95e-06,95211,
8e-06,95978,
8.05e-06,95817,
8.1e-06,96123,
8.15e-06,95426,
8.2e-06,95820,
8.25e-06,95650,
8.3e-06,96040,
8.35e-06,95733,
8.4e-06,96263,
8.45e-06,96482,
8.5e-06,96567,
8.55e-06,95833,
8.6e-06,96192,
8.65e-06,95903,
8.7e-06,96121,
8.75e-06,96360,
8.8e-06,96241,
8.85e-06,95906,
8.9e-06,95770,
8.95e-06,95963,
9e-06,96677,
9.05e-06,96784,
9.1e-06,96076,
9.15e-06,96490,
9.2e-06,96567,
9.25e-06,96381,
9.3e-06,96842,
9.35e-06,96023,
9.4e-06,96402,
9.45e-06,96299,
9.5e-06,96467,
9.55e-06,97081,
9.6e-06,96347,
9.65e-06,97168,
9.7e-06,96549,
9.75e-06,96682,
9.8e-06,96013,
9.85e-06,96856,
9.9e-06,96676,
9.95e-06,97181,
1e-05,97092,
1.005e-05,97027,
1.01e-05,96522,
1.015e-05,96642,
1.02e-05,96814,
1.025e-05,96549,
1.03e-05,96603,
1.035e-05,97247,
1.04e-05,96747,
1.045e-05,96701,
1.05e-05,96598,
1.055e-05,42383,
1.06e-05,3643,
1.065e-05,605,
1.07e-05,390,
1.075e-05,2809,
1.08e-05,59081,
1.085e-05,95412,
1.09e-05,95992,
1.095e-05,95252,
1.1e-05,94868,
1.105e-05,94205,
1.11e-05,94469,
1.115e-05,94031,
1.12e-05,93687,
1.125e-05,93271,
1.13e-05,93441,
1.135e-05,93455,
1.14e-05,92737,
1.145e-05,93079,
1.15e-05,92929,
1.155e-05,92860,
1.16e-05,93185,
1.165e-05,93343,
1.17e-05,93390,
1.175e-05,93237,
1.18e-05,94146,
1.185e-05,93844,
1.19e-05,94086,
1.195e-05,94652,
1.2e-05,94379,
1.205e-05,94595,
1.21e-05,94534,
1.215e-05,94783,
1.22e-05,94910,
1.225e-05,94919,
1.23e-05,94753,
1.235e-05,94725,
1.24e-05,94784,
1.245e-05,95236,
1.25e-05,95004,
1.255e-05,95260,
1.26e-05,94981,
1.265e-05,95546,
1.27e-05,95709,
1.275e-05,95454,
1.28e-05,95385,
1.285e-05,95744,
1.29e-05,95106,
1.295e-05,95685,
1.3e-05,95431,
1.305e-05,95594,
1.31e-05,95322,
1.315e-05,95575,
1.32e-05,96207,
1.325e-05,95976,
1.33e-05,95942,
1.335e-05,96180,
1.34e-05,95776,
1.345e-05,95593,
1.35e-05,96359,
1.355e-05,95181,
1.36e-05,96030,
1.365e-05,95660,
1.37e-05,95746,
1.375e-05,95827,
1.38e-05,95685,
1.385e-05,95982,
1.39e-05,95657,
1.395e-05,96585,
1.4e-05,95527,
1.405e-05,95722,
1.41e-05,96513,
1.415e-05,96244,
1.42e-05,95909,
1.425e-05,96475,
1.43e-05,96521,
1.435e-05,96306,
1.44e-05,96067,
1.445e-05,96432,
1.45e-05,96052,
1.455e-05,96136,
1.46e-05,96350,
1.465e-05,95980,
1.47e-05,96722,
1.475e-05,96450,
1.48e-05,96252,
1.485e-05,96576,
1.49e-05,96672,
1.495e-05,95967,
1.5e-05,96221,
1.505e-05,96290,
1.51e-05,96302,
1.515e-05,96474,
1.52e-05,96502,
1.525e-05,96305,
1.53e-05,96038,
1.535e-05,96060,
1.54e-05,96416,
1.545e-05,95821,
1.55e-05,96947,
1.555e-05,96323,
1.56e-05,96755,
1.565e-05,97119,
1.57e-05,96261,
1.575e-05,93274,
1.58e-05,28888,
1.585e-05,2163,
1.59e-05,504,
1.595e-05,335,
1.6e-05,2680,
1.605e-05,58547,
1.61e-05,94436,
1.615e-05,96346,
1.62e-05,95318,
1.625e-05,94982,
1.63e-05,93654,
1.635e-05,94170,
1.64e-05,93753,
1.645e-05,93571,
1.65e-05,93650,
1.655e-05,93101,
1.66e-05,93086,
1.665e-05,93481,
1.67e-05,92934,
1.675e-05,92919,
1.68e-05,92990,
1.685e-05,93065,
1.69e-05,93263,
1.695e-05,93213,
1.7e-05,93047,
1.705e-05,93779,
1.71e-05,93298,
1.715e-05,93541,
1.72e-05,94128,
1.725e-05,93801,
1.73e-05,94744,
1.735e-05,94597,
1.74e-05,94277,
1.745e-05,94328,
1.75e-05,94328,
1.755e-05,94944,
1.76e-05,95150,
1.765e-05,94606,
1.77e-05,95251,
1.775e-05,94879,
1.78e-05,95542,
1.785e-05,95111,
1.79e-05,95195,
1.795e-05,94674,
1.8e-05,95595,
1.805e-05,95641,
1.81e-05,96144,
1.815e-05,95954,
1.82e-05,95268,
1.825e-05,95330,
1.83e-05,96154,
1.835e-05,95449,
1.84e-05,95295,
1.845e-05,95284,
1.85e-05,96410,
1.855e-05,95589,
