x0000,y0000
2e-07,0.9948964682,
2.1e-07,0.9763140967,
2.2e-07,0.9769033282,
2.3e-07,0.9763735694,
2.4e-07,0.978702169,
2.5e-07,0.9796396286,
2.6e-07,0.9897702646,
2.7e-07,0.9967132497,
2.8e-07,1.004645976,
2.9e-07,1.008958984,
3e-07,1.011429647,
3.1e-07,1.01566672,
3.2e-07,1.009770591,
3.3e-07,1.005577329,
3.4e-07,0.9973556514,
3.5e-07,0.9929643403,
3.6e-07,0.9831826221,
3.7e-07,0.9738020913,
3.8e-07,0.9720524308,
3.9e-07,0.971346101,
4e-07,0.9738489835,
4.1e-07,0.9782063177,
4.2e-07,0.9888631761,
4.3e-07,0.9940842865,
4.4e-07,1.001191636,
4.5e-07,1.011389174,
4.6e-07,1.016597396,
4.7e-07,1.018526713,
4.8e-07,1.013293498,
4.9e-07,1.011132568,
5e-07,1.003477888,
5.1e-07,1.000179622,
5.2e-07,1.000127525,
5.3e-07,1.003182373,
5.4e-07,1.001499484,
5.5e-07,1.001736695,
5.6e-07,1.009366654,
5.7e-07,1.013117966,
5.8e-07,1.016245721,
5.9e-07,1.017974327,
