x0000,y0000
0,3958,
1e-07,1691,
2e-07,87,
3e-07,41,
4e-07,54,
5e-07,44,
6e-07,42,
7e-07,28,
8e-07,45,
9e-07,49,
1e-06,30,
1.1e-06,1422,
1.2e-06,4058,
1.3e-06,4514,
1.4e-06,4355,
1.5e-06,4319,
1.6e-06,4145,
1.7e-06,4136,
1.8e-06,4231,
1.9e-06,4136,
2e-06,4223,
2.1e-06,4247,
2.2e-06,4171,
2.3e-06,3990,
2.4e-06,4128,
2.5e-06,4083,
2.6e-06,4133,
2.7e-06,4155,
2.8e-06,4189,
2.9e-06,4111,
3e-06,4111,
3.1e-06,4191,
3.2e-06,4159,
3.3e-06,4126,
3.4e-06,4130,
3.5e-06,4164,
3.6e-06,4159,
3.7e-06,4173,
3.8e-06,4191,
3.9e-06,4041,
4e-06,4092,
4.1e-06,4313,
4.2e-06,4264,
4.3e-06,4121,
4.4e-06,4144,
4.5e-06,4124,
4.6e-06,4218,
4.7e-06,4037,
4.8e-06,4069,
4.9e-06,4118,
5e-06,4106,
5.1e-06,4116,
5.2e-06,4210,
5.3e-06,4028,
5.4e-06,4062,
5.5e-06,4086,
5.6e-06,4215,
5.7e-06,4065,
5.8e-06,4041,
5.9e-06,4076,
6e-06,4135,
6.1e-06,4118,
6.2e-06,4095,
6.3e-06,3951,
6.4e-06,4048,
6.5e-06,4085,
6.6e-06,4220,
6.7e-06,4088,
6.8e-06,4175,
6.9e-06,4122,
7e-06,4086,
7.1e-06,4192,
7.2e-06,4072,
7.3e-06,4086,
7.4e-06,4072,
7.5e-06,4156,
7.6e-06,4181,
7.7e-06,4109,
7.8e-06,4074,
7.9e-06,3939,
8e-06,4012,
8.1e-06,4034,
8.2e-06,4058,
8.3e-06,4103,
8.4e-06,3963,
8.5e-06,4136,
8.6e-06,4036,
8.7e-06,4130,
8.8e-06,4109,
8.9e-06,4189,
9e-06,4139,
9.1e-06,4162,
9.2e-06,4089,
9.3e-06,4089,
9.4e-06,4123,
9.5e-06,4056,
9.6e-06,4148,
9.7e-06,4166,
9.8e-06,4021,
9.9e-06,4035,
1e-05,4030,
1.01e-05,4015,
1.02e-05,4060,
1.03e-05,4160,
1.04e-05,4096,
1.05e-05,4137,
1.06e-05,4270,
1.07e-05,4012,
1.08e-05,4095,
1.09e-05,4006,
1.1e-05,4081,
1.11e-05,4053,
1.12e-05,4098,
1.13e-05,4104,
1.14e-05,4102,
1.15e-05,4072,
1.16e-05,4116,
1.17e-05,4031,
1.18e-05,4039,
1.19e-05,4136,
1.2e-05,4015,
1.21e-05,4164,
1.22e-05,4164,
1.23e-05,3956,
1.24e-05,4035,
1.25e-05,4086,
1.26e-05,4076,
1.27e-05,4056,
1.28e-05,3993,
1.29e-05,4030,
1.3e-05,4207,
1.31e-05,4084,
1.32e-05,4035,
1.33e-05,4235,
1.34e-05,4018,
1.35e-05,4011,
1.36e-05,3979,
1.37e-05,4026,
1.38e-05,4053,
1.39e-05,4046,
1.4e-05,4088,
1.41e-05,4096,
1.42e-05,4066,
1.43e-05,4003,
1.44e-05,4107,
1.45e-05,4205,
1.46e-05,4158,
1.47e-05,4161,
1.48e-05,4039,
1.49e-05,4128,
1.5e-05,4090,
1.51e-05,4003,
1.52e-05,4057,
1.53e-05,4091,
1.54e-05,4032,
1.55e-05,4057,
1.56e-05,4139,
1.57e-05,3999,
1.58e-05,4176,
1.59e-05,4119,
1.6e-05,4088,
1.61e-05,4049,
1.62e-05,4082,
1.63e-05,4087,
1.64e-05,3991,
1.65e-05,4031,
